Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Abadia de Goiás,8 (3 -- 16),Unsure,1 (0.9 -- 1.1),0 (-0.02 -- 0.02),149 (33.2 -- -44.9)
Abaetetuba,7 (0 -- 21),Likely decreasing,0.9 (0.8 -- 1.1),-0.01 (-0.08 -- 0.02),-51.1 (30.6 -- -9.1)
Abelardo Luz,10 (1 -- 25),Likely increasing,1.1 (1 -- 1.2),0.02 (0 -- 0.05),37.8 (15.2 -- -230.7)
Abreu e Lima,2 (1 -- 3),Decreasing,0.9 (0.9 -- 1),-0.02 (-0.03 -- -0.01),-36.2 (-104.4 -- -21.7)
Acarape,1 (0 -- 4),Decreasing,0.9 (0.7 -- 1),-0.04 (-0.08 -- -0.01),-17 (-119.8 -- -8.4)
Acaraú,1 (0 -- 4),Decreasing,0.8 (0.7 -- 1),-0.03 (-0.1 -- 0),-21.4 (141.2 -- -7.3)
Acopiara,11 (0 -- 58),Unsure,1 (0.9 -- 1.2),0.01 (-0.04 -- 0.07),73.6 (9.3 -- -19.6)
Acrelândia,2 (0 -- 6),Unsure,1 (0.8 -- 1.1),-0.01 (-0.07 -- 0.03),-99 (23.7 -- -10.6)
Acreúna,13 (0 -- 52),Likely increasing,1.1 (1 -- 1.2),0.04 (-0.17 -- 2.45236e+14),19 (0 -- -4)
Adamantina,2 (1 -- 4),Unsure,1 (0.9 -- 1),0 (-0.02 -- 0.01),-186 (65.1 -- -34.4)
Afogados da Ingazeira,29 (5 -- 57),Increasing,1.1 (1 -- 1.2),0.03 (0.01 -- 0.06),21 (12.1 -- 48.1)
Afonso Cláudio,5 (0 -- 10),Unsure,1 (0.9 -- 1.1),0 (-0.03 -- 0.02),-1194 (34.7 -- -21.9)
Afuá,5 (0 -- 11),Likely decreasing,0.9 (0.8 -- 1),-0.02 (-0.06 -- 0.01),-36.8 (50.6 -- -11)
Agrestina,0 (0 -- 1),Decreasing,0.77 (0.68 -- 0.87),-0.04 (-0.11 -- -0.01),-16.2 (-84.9 -- -6.5)
Agudos,5 (2 -- 9),Unsure,1 (0.9 -- 1),0 (-0.02 -- 0.01),-331.3 (61.8 -- -32.3)
Alagoa Grande,20 (0 -- 57),Likely increasing,1.1 (1 -- 1.1),0.01 (-0.03 -- 0.08),55.6 (8.7 -- -27.4)
Alagoinha,3 (0 -- 6),Likely decreasing,0.9 (0.9 -- 1),-0.02 (-0.06 -- 0.01),-40.5 (127.7 -- -12.3)
Alagoinhas,19 (2 -- 36),Decreasing,0.9 (0.8 -- 1),-0.02 (-0.05 -- 0),-32.6 (-283 -- -14.3)
Alcobaça,3 (0 -- 7),Likely decreasing,1 (0.9 -- 1),-0.02 (-0.07 -- 0.02),-41.9 (38.8 -- -9.9)
Aldeias Altas,1 (0 -- 4),Decreasing,0.9 (0.8 -- 1),-0.04 (-0.08 -- -0.01),-17.4 (-102.3 -- -8.3)
Alegrete,4 (1 -- 7),Likely decreasing,0.9 (0.9 -- 1),-0.01 (-0.04 -- 0.01),-63.6 (61.8 -- -17.8)
