Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Abaetetuba,79 (60 -- 97),Unsure,1 (0.9 -- 1.1),0 (-0.02 -- 0.02),-1352.9 (29.6 -- -35.2)
Acarape,9 (7 -- 11),Unsure,1 (1 -- 1.1),0 (-0.01 -- 0.03),452.6 (22.6 -- -49.4)
Acaraú,9 (7 -- 11),Unsure,1 (0.9 -- 1.1),0 (-0.02 -- 0.03),530.1 (23 -- -44.3)
Acopiara,29 (23 -- 35),Unsure,0.9 (0.9 -- 1),-0.01 (-0.03 -- 0.01),-49.5 (73.5 -- -25.8)
Afogados da Ingazeira,211 (168 -- 283),Unsure,1.1 (0.9 -- 1.1),0.02 (-0.02 -- 0.04),39 (18.4 -- -34.4)
Afonso Cláudio,236 (118 -- 498),Unsure,1.1 (0.9 -- 1.4),0.04 (-0.04 -- 0.1),19.4 (6.9 -- -18)
Afuá,19 (16 -- 24),Unsure,1 (0.9 -- 1.1),0 (-0.02 -- 0.02),10877.3 (36.1 -- -38.8)
Alagoa Grande,9 (8 -- 11),Unsure,1 (0.9 -- 1.1),0 (-0.01 -- 0.02),1286.5 (33.8 -- -48)
Alagoinha,20 (16 -- 26),Unsure,1.4 (1.2 -- 1.5),0.09 (0.07 -- 0.13),7.3 (5.5 -- 9.9)
Alagoinhas,69 (55 -- 88),Unsure,0.9 (0.9 -- 1),-0.02 (-0.04 -- 0),-41.6 (298.9 -- -17.5)
Alegrete,220 (190 -- 257),Unsure,1 (1 -- 1.1),0.01 (-0.01 -- 0.02),73.9 (31.1 -- -97.4)
Alenquer,30 (25 -- 35),Unsure,1 (1 -- 1.1),0 (-0.01 -- 0.02),397.5 (42 -- -52.7)
Alexânia,50 (44 -- 63),Unsure,1.1 (1 -- 1.2),0.03 (0.01 -- 0.05),22.5 (14.4 -- 64.4)
Alfenas,69 (53 -- 85),Unsure,0.8 (0.7 -- 0.9),-0.06 (-0.07 -- -0.03),-12.3 (-20.4 -- -9.3)
Almirante Tamandaré,190 (171 -- 221),Unsure,1 (1 -- 1.1),0 (-0.01 -- 0.01),238.6 (50.3 -- -56)
Altamira,89 (62 -- 122),Unsure,0.9 (0.8 -- 1),-0.03 (-0.06 -- 0.01),-23.9 (93.4 -- -12.2)
Altos,81 (68 -- 107),Unsure,1 (0.9 -- 1.1),0 (-0.03 -- 0.02),-690.1 (34.6 -- -24.8)
Alvarães,30 (23 -- 37),Unsure,1 (0.9 -- 1.1),0 (-0.02 -- 0.02),-10393.4 (33 -- -30.6)
Alvorada,440 (386 -- 505),Unsure,1 (1 -- 1.1),0 (-0.01 -- 0.01),333.5 (46.3 -- -66)
Amarante do Maranhão,19 (14 -- 24),Unsure,1 (1 -- 1.2),0.01 (-0.01 -- 0.04),66.4 (16.4 -- -77.5)
Amaturá,29 (20 -- 37),Unsure,1 (0.9 -- 1.1),0 (-0.02 -- 0.04),453.1 (18.7 -- -31.5)
Americana,165 (133 -- 231),Unsure,1.1 (1 -- 1.2),0.02 (-0.01 -- 0.04),30.2 (15.5 -- -125)
Amparo,29 (25 -- 34),Unsure,0.9 (0.9 -- 1),-0.02 (-0.03 -- 0),-38.4 (-310.9 -- -22.3)
Ananindeua,279 (201 -- 395),Unsure,0.9 (0.7 -- 1),-0.04 (-0.07 -- 0),-17.3 (-559.4 -- -9.7)
Anapu,29 (24 -- 36),Unsure,1.1 (1.1 -- 1.2),0.04 (0.02 -- 0.06),17.3 (11.5 -- 36.7)
Anchieta,311 (145 -- 741),Unsure,1.1 (0.8 -- 1.4),0.04 (-0.06 -- 0.11),18.7 (6.2 -- -11.8)
Andradina,59 (49 -- 69),Unsure,1 (0.9 -- 1),-0.01 (-0.03 -- 0.01),-49.4 (128.4 -- -25.3)
Angra dos Reis,240 (210 -- 275),Unsure,1 (1 -- 1),0 (-0.01 -- 0.01),1661.8 (52.1 -- -51.5)
Anori,39 (29 -- 50),Unsure,0.8 (0.8 -- 0.9),-0.05 (-0.07 -- -0.02),-15.3 (-41.2 -- -10)
Anápolis,587 (494 -- 681),Unsure,1 (1 -- 1.1),0 (-0.01 -- 0.02),1829.6 (30.3 -- -58.1)
Aparecida de Goiânia,816 (610 -- 990),Unsure,0.9 (0.8 -- 1),-0.03 (-0.05 -- 0),-27.6 (535.4 -- -15.2)
Aparecida do Taboado,19 (16 -- 22),Unsure,0.9 (0.8 -- 1),-0.03 (-0.05 -- -0.01),-20 (-53.2 -- -14.5)
Apodi,39 (32 -- 44),Unsure,0.8 (0.7 -- 0.9),-0.06 (-0.07 -- -0.04),-12.1 (-19 -- -10.1)
Apucarana,79 (67 -- 94),Unsure,1 (0.9 -- 1),-0.01 (-0.03 -- 0),-54.2 (239.8 -- -23.3)
Aquidauana,29 (23 -- 35),Unsure,0.8 (0.8 -- 0.9),-0.05 (-0.07 -- -0.03),-13.2 (-21.4 -- -9.8)
Aquiraz,40 (34 -- 49),Unsure,1 (0.9 -- 1.1),0 (-0.02 -- 0.01),-4122.7 (47.2 -- -34.1)
Aracaju,655 (398 -- 1116),Unsure,0.8 (0.6 -- 1),-0.06 (-0.11 -- 0),-12.2 (-2241.2 -- -6.1)
Aracati,19 (14 -- 24),Unsure,1 (0.9 -- 1.1),0 (-0.02 -- 0.03),804.6 (22.2 -- -32.5)
Araci,39 (32 -- 50),Unsure,1 (0.9 -- 1.1),0 (-0.02 -- 0.03),1030.8 (25 -- -33.8)
Aracruz,1036 (398 -- 2775),Unsure,1.1 (0.8 -- 1.5),0.03 (-0.07 -- 0.12),21.2 (5.7 -- -10.2)
Araguari,79 (59 -- 96),Unsure,0.8 (0.8 -- 0.9),-0.05 (-0.07 -- -0.03),-14.1 (-27.2 -- -10.2)
Araguatins,9 (8 -- 11),Unsure,0.7 (0.6 -- 0.8),-0.08 (-0.1 -- -0.06),-8.5 (-10.9 -- -7.1)
Araguaína,149 (122 -- 181),Unsure,0.8 (0.7 -- 0.9),-0.05 (-0.08 -- -0.03),-12.6 (-20.5 -- -9.2)
Arapiraca,240 (143 -- 415),Unsure,1 (0.8 -- 1.2),-0.01 (-0.07 -- 0.05),-70.5 (14.2 -- -10.5)
Arapongas,179 (156 -- 204),Unsure,1 (0.9 -- 1),0 (-0.02 -- 0.01),-150.7 (71.6 -- -40.1)
Araquari,50 (41 -- 65),Unsure,1.1 (1 -- 1.2),0.03 (0 -- 0.05),24 (12.9 -- 199.7)
Araranguá,620 (395 -- 1031),Unsure,1 (0.9 -- 1.2),0.01 (-0.04 -- 0.05),92.5 (14.7 -- -17.4)
Araraquara,260 (227 -- 314),Unsure,1 (0.9 -- 1),-0.01 (-0.03 -- 0),-57.3 (148.1 -- -23.6)
Araras,129 (107 -- 155),Unsure,0.8 (0.8 -- 0.9),-0.05 (-0.07 -- -0.03),-14 (-23.7 -- -10.3)
Araripina,100 (86 -- 115),Unsure,1 (1 -- 1.1),0 (-0.01 -- 0.02),-2009.1 (42.5 -- -59.8)
Araruama,110 (96 -- 127),Unsure,1.1 (1 -- 1.1),0.02 (0 -- 0.03),41.7 (20.5 -- 222.2)
Araucária,768 (685 -- 956),Unsure,1 (1 -- 1.1),0.01 (-0.01 -- 0.02),67.3 (30.6 -- -64.2)
Araxá,129 (108 -- 155),Unsure,0.9 (0.8 -- 1),-0.03 (-0.05 -- -0.01),-22.1 (-56.2 -- -14.6)
Araçatuba,290 (229 -- 370),Unsure,0.9 (0.9 -- 1),-0.02 (-0.04 -- 0.01),-43.7 (124.3 -- -19.3)
Arcoverde,170 (147 -- 206),Unsure,1 (1 -- 1.1),0.01 (0 -- 0.03),53.4 (24 -- -165.9)
Ariquemes,169 (146 -- 193),Unsure,1 (1 -- 1.1),0.01 (-0.01 -- 0.02),93.4 (35.9 -- -85.1)
Artur Nogueira,49 (41 -- 56),Unsure,1 (1 -- 1.1),0 (-0.01 -- 0.02),-644.6 (43.5 -- -51.4)
Arujá,100 (87 -- 118),Unsure,1 (0.9 -- 1),0 (-0.02 -- 0.01),-927.7 (54.5 -- -45)
Assis,90 (80 -- 102),Unsure,1 (1 -- 1),0 (-0.01 -- 0.01),13092.7 (61.7 -- -54.1)
Atalaia do Norte,69 (56 -- 81),Unsure,0.9 (0.9 -- 1),-0.03 (-0.04 -- -0.01),-27 (-115.4 -- -17.8)
Atibaia,109 (97 -- 123),Unsure,0.9 (0.9 -- 1),-0.02 (-0.03 -- 0),-44.2 (-202.1 -- -26)
Augusto Corrêa,19 (16 -- 22),Unsure,1 (1 -- 1.1),0 (-0.01 -- 0.02),2217.2 (38.5 -- -52.8)
Autazes,29 (24 -- 35),Unsure,1 (0.9 -- 1.1),0 (-0.02 -- 0.02),1202.6 (31.1 -- -44)
Açailândia,29 (22 -- 37),Unsure,0.8 (0.8 -- 0.9),-0.04 (-0.07 -- -0.02),-15.8 (-38.5 -- -10.2)
Açu,9 (6 -- 12),Unsure,1 (0.9 -- 1.2),0 (-0.02 -- 0.05),259.5 (13.6 -- -45.8)
Bacabal,39 (31 -- 48),Unsure,1 (0.9 -- 1.1),0 (-0.02 -- 0.03),1596.1 (25.2 -- -31.6)
Bady Bassitt,19 (16 -- 23),Unsure,0.8 (0.7 -- 0.9),-0.06 (-0.08 -- -0.04),-11.4 (-17.1 -- -9)
Bagé,190 (168 -- 227),Unsure,1 (1 -- 1.1),0.01 (0 -- 0.02),60 (29 -- -232)
Baixa Grande do Ribeiro,29 (24 -- 33),Unsure,0.9 (0.9 -- 1),-0.02 (-0.03 -- 0),-38.1 (-205.7 -- -21.6)
Baixo Guandu,222 (124 -- 474),Unsure,1.1 (0.9 -- 1.3),0.03 (-0.04 -- 0.09),24.6 (7.8 -- -16.7)
