region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
Cuiabá,162890 (49284 -- 571708),162890,217401,191807,49284,101302,135703,197386,269446,571708,New confirmed cases by infection date,Unsure
Vila Velha,27929 (8656 -- 90646),27929,36437,29393,8656,17327,23376,33798,45498,90646,New confirmed cases by infection date,Unsure
Rondonópolis,23867 (7910 -- 70619),23867,29532,22873,7910,15151,20158,28000,36133,70619,New confirmed cases by infection date,Unsure
Vitória,20723 (6055 -- 67627),20723,27063,23157,6055,12642,17687,24678,33992,67627,New confirmed cases by infection date,Unsure
Várzea Grande,20225 (6573 -- 62932),20225,26360,23149,6573,12725,16585,24328,32655,62932,New confirmed cases by infection date,Unsure
Serra,19908 (6047 -- 61565),19908,25350,19771,6047,12328,16463,24195,32566,61565,New confirmed cases by infection date,Unsure
São Paulo,13536 (10917 -- 18864),13536,14095,2549,10917,12569,13076,14079,15228,18864,New confirmed cases by infection date,Unsure
Cariacica,9998 (3759 -- 29516),9998,12472,9120,3759,6658,8487,11634,15366,29516,New confirmed cases by infection date,Unsure
Sinop,9901 (3530 -- 31608),9901,12953,10150,3530,6483,8451,11819,15880,31608,New confirmed cases by infection date,Unsure
Rio de Janeiro,8763 (6627 -- 12679),8763,9133,1967,6627,7888,8424,9207,10021,12679,New confirmed cases by infection date,Unsure
Tangará da Serra,6045 (2177 -- 18520),6045,7667,5988,2177,3931,5205,7083,9160,18520,New confirmed cases by infection date,Unsure
Primavera do Leste,4809 (1783 -- 14686),4809,6142,4445,1783,3201,4136,5739,7593,14686,New confirmed cases by infection date,Unsure
Brasília,4778 (3522 -- 6621),4778,4868,964,3522,4188,4551,4999,5421,6621,New confirmed cases by infection date,Unsure
Fortaleza,4240 (3147 -- 6100),4240,4404,931,3147,3823,4064,4465,4864,6100,New confirmed cases by infection date,Unsure
Porto Alegre,4228 (3243 -- 5912),4228,4379,837,3243,3877,4111,4380,4758,5912,New confirmed cases by infection date,Unsure
Florianópolis,4138 (3042 -- 6030),4138,4291,937,3042,3734,4015,4319,4705,6030,New confirmed cases by infection date,Unsure
Cachoeiro de Itapemirim,3901 (1510 -- 10466),3901,4631,3093,1510,2714,3385,4494,5669,10466,New confirmed cases by infection date,Unsure
Campo Grande,3285 (2099 -- 4988),3285,3384,895,2099,2780,3073,3492,3861,4988,New confirmed cases by infection date,Unsure
Colatina,3161 (1207 -- 8901),3161,3854,2721,1207,2177,2749,3654,4621,8901,New confirmed cases by infection date,Unsure
Belo Horizonte,2659 (2129 -- 3389),2659,2703,389,2129,2468,2589,2740,2896,3389,New confirmed cases by infection date,Unsure
Linhares,2612 (964 -- 7154),2612,3113,2012,964,1727,2213,3059,3859,7154,New confirmed cases by infection date,Unsure
Blumenau,2354 (1827 -- 3414),2354,2474,506,1827,2191,2289,2449,2670,3414,New confirmed cases by infection date,Unsure
Joinville,2297 (1336 -- 4003),2297,2427,852,1336,1849,2119,2500,2862,4003,New confirmed cases by infection date,Unsure
Salvador,2228 (1775 -- 3000),2228,2284,370,1775,2049,2153,2315,2482,3000,New confirmed cases by infection date,Unsure
Manaus,2156 (1788 -- 2604),2156,2169,247,1788,2045,2122,2185,2265,2604,New confirmed cases by infection date,Unsure
São José,2042 (1348 -- 3239),2042,2143,620,1348,1751,1940,2155,2442,3239,New confirmed cases by infection date,Unsure
Goiânia,1950 (1707 -- 2240),1950,1960,170,1707,1890,1936,1966,2016,2240,New confirmed cases by infection date,Unsure
João Pessoa,1931 (1602 -- 2514),1931,1979,290,1602,1807,1871,1995,2115,2514,New confirmed cases by infection date,Unsure
Porto Velho,1839 (1435 -- 2400),1839,1878,305,1435,1695,1791,1906,2036,2400,New confirmed cases by infection date,Unsure
Belém,1730 (1501 -- 2042),1730,1745,167,1501,1680,1715,1746,1790,2042,New confirmed cases by infection date,Unsure
Guarapari,1715 (736 -- 3935),1715,1940,1082,736,1160,1480,1962,2420,3935,New confirmed cases by infection date,Unsure
Recife,1654 (1018 -- 2778),1654,1724,540,1018,1356,1531,1771,1986,2778,New confirmed cases by infection date,Unsure
Criciúma,1647 (994 -- 2674),1647,1710,525,994,1344,1528,1764,1978,2674,New confirmed cases by infection date,Unsure
Foz do Iguaçu,1581 (1116 -- 2344),1581,1647,388,1116,1395,1516,1669,1846,2344,New confirmed cases by infection date,Unsure
Rio Branco,1549 (1100 -- 2213),1549,1597,352,1100,1368,1475,1640,1798,2213,New confirmed cases by infection date,Unsure
São José do Rio Preto,1508 (1228 -- 2271),1508,1597,329,1228,1397,1457,1581,1717,2271,New confirmed cases by infection date,Unsure
Uberlândia,1503 (1251 -- 1718),1503,1493,147,1251,1427,1482,1516,1550,1718,New confirmed cases by infection date,Unsure
Palhoça,1374 (999 -- 2080),1374,1433,334,999,1224,1309,1443,1594,2080,New confirmed cases by infection date,Unsure
Maringá,1356 (1133 -- 1793),1356,1403,213,1133,1295,1332,1394,1477,1793,New confirmed cases by infection date,Unsure
Caxias do Sul,1354 (1118 -- 1745),1354,1386,190,1118,1291,1337,1383,1460,1745,New confirmed cases by infection date,Unsure
Balneário Camboriú,1332 (984 -- 2093),1332,1413,334,984,1214,1271,1404,1567,2093,New confirmed cases by infection date,Unsure
Teresina,1321 (1139 -- 1501),1321,1323,111,1139,1271,1306,1336,1375,1501,New confirmed cases by infection date,Unsure
Macapá,1317 (868 -- 1996),1317,1358,337,868,1142,1254,1382,1530,1996,New confirmed cases by infection date,Unsure
Santos,1286 (1084 -- 1584),1286,1303,148,1084,1234,1272,1307,1357,1584,New confirmed cases by infection date,Unsure
São João da Barra,1284 (1031 -- 1523),1284,1277,155,1031,1212,1263,1295,1333,1523,New confirmed cases by infection date,Unsure
Santo André,1224 (1118 -- 1426),1224,1243,102,1118,1198,1218,1237,1274,1426,New confirmed cases by infection date,Unsure
Brusque,1129 (769 -- 1842),1129,1195,342,769,956,1056,1203,1357,1842,New confirmed cases by infection date,Unsure
Feira de Santana,1119 (921 -- 1446),1119,1150,170,921,1056,1099,1149,1221,1446,New confirmed cases by infection date,Unsure
Niterói,1081 (923 -- 1292),1081,1093,119,923,1040,1071,1094,1135,1292,New confirmed cases by infection date,Unsure
Aracruz,1036 (398 -- 2775),1036,1249,843,398,681,886,1225,1553,2775,New confirmed cases by infection date,Unsure
Lages,1032 (522 -- 2078),1032,1119,500,522,770,917,1141,1357,2078,New confirmed cases by infection date,Unsure
Guarulhos,1026 (915 -- 1250),1026,1047,111,915,995,1017,1042,1079,1250,New confirmed cases by infection date,Unsure
Boa Vista,1020 (886 -- 1180),1020,1024,89,886,990,1013,1028,1053,1180,New confirmed cases by infection date,Unsure
Campinas,980 (847 -- 1277),980,1014,134,847,941,962,1008,1064,1277,New confirmed cases by infection date,Unsure
Canoas,951 (826 -- 1128),951,962,95,826,921,945,961,991,1128,New confirmed cases by infection date,Unsure
Teresópolis,951 (828 -- 1146),951,966,106,828,917,943,964,999,1146,New confirmed cases by infection date,Unsure
Campos dos Goytacazes,922 (820 -- 1045),922,929,71,820,899,917,932,954,1045,New confirmed cases by infection date,Unsure
Londrina,902 (518 -- 1598),902,962,345,518,724,830,989,1131,1598,New confirmed cases by infection date,Unsure
São Bernardo do Campo,894 (801 -- 1065),894,910,85,801,872,888,906,934,1065,New confirmed cases by infection date,Unsure
Ribeirão Preto,869 (762 -- 1117),869,900,117,762,839,855,890,940,1117,New confirmed cases by infection date,Unsure
