Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Abadia de Goiás,6 (2 -- 10),Unsure,1 (0.94 -- 1.06),0 (-0.02 -- 0.02),2059.7 (43.6 -- -43.6)
Abaetetuba,6 (0 -- 18),Unsure,0.95 (0.83 -- 1.08),-0.01 (-0.05 -- 0.02),-69.7 (34.6 -- -14)
Abelardo Luz,7 (0 -- 28),Likely increasing,1.1 (0.96 -- 1.24),0.02 (-0.03 -- 0.08),32.9 (8.2 -- -26.5)
Abreu e Lima,2 (0 -- 4),Likely decreasing,0.96 (0.91 -- 1),-0.02 (-0.05 -- 0),-45.7 (303.1 -- -14.8)
Acarape,4 (0 -- 11),Decreasing,0.91 (0.8 -- 0.99),-0.03 (-0.1 -- 0),-21.6 (11498.4 -- -7.2)
Acaraú,1 (0 -- 2),Decreasing,0.81 (0.72 -- 0.95),-0.04 (-0.07 -- -0.01),-15.5 (-55.7 -- -9.7)
Acopiara,14 (1 -- 37),Likely increasing,1.05 (0.99 -- 1.12),0.02 (-0.02 -- 0.07),36.6 (9.6 -- -33.2)
Acrelândia,2 (0 -- 6),Unsure,0.99 (0.88 -- 1.11),-0.01 (-0.07 -- 0.08),-117.2 (8.6 -- -9.3)
Acreúna,16 (0 -- 97),Increasing,1.12 (1.01 -- 1.24),0.03 (-0.03 -- 0.14),22.5 (4.9 -- -26.3)
Adamantina,3 (1 -- 6),Likely decreasing,0.98 (0.93 -- 1.02),-0.01 (-0.02 -- 0.01),-121.8 (115.2 -- -36.8)
Afogados da Ingazeira,9 (0 -- 18),Unsure,1.04 (0.93 -- 1.12),0.01 (-0.02 -- 0.03),63.1 (22 -- -35.8)
Afonso Cláudio,7 (0 -- 17),Unsure,1.01 (0.95 -- 1.07),0.01 (-0.05 -- 0.07),138.4 (10.3 -- -14.5)
Afuá,4 (0 -- 13),Likely decreasing,0.91 (0.75 -- 1.08),-0.02 (-0.08 -- 0.03),-29.6 (27.4 -- -8.6)
Agrestina,0 (0 -- 1),Decreasing,0.77 (0.68 -- 0.87),-0.04 (-0.11 -- -0.01),-16.2 (-84.9 -- -6.5)
Agudos,5 (1 -- 8),Likely decreasing,0.96 (0.9 -- 1.02),-0.01 (-0.06 -- 0.01),-65.8 (97.3 -- -12.5)
Alagoa Grande,24 (1 -- 67),Likely increasing,1.08 (0.99 -- 1.16),0.02 (-0.01 -- 0.07),40.9 (10 -- -71.7)
Alagoinha,1 (0 -- 2),Decreasing,0.88 (0.83 -- 0.93),-0.03 (-0.05 -- -0.02),-20.2 (-35.5 -- -14.1)
Alagoinhas,32 (6 -- 58),Likely decreasing,0.95 (0.89 -- 1.01),-0.01 (-0.03 -- 0),-53 (258.3 -- -21.8)
Alcobaça,3 (0 -- 6),Likely decreasing,0.95 (0.88 -- 1.03),-0.02 (-0.06 -- 0.01),-43.1 (72.9 -- -11.7)
Aldeias Altas,2 (0 -- 6),Decreasing,0.88 (0.75 -- 1),-0.03 (-0.07 -- 0),-20.9 (364.4 -- -10)
Alegrete,5 (2 -- 10),Unsure,0.98 (0.89 -- 1.06),0 (-0.02 -- 0.01),-205.2 (74.8 -- -35)
Alenquer,2 (0 -- 7),Likely decreasing,0.91 (0.81 -- 1.01),-0.03 (-0.05 -- 0.01),-26.7 (102.7 -- -13.8)
Alexânia,14 (3 -- 28),Unsure,1 (0.94 -- 1.08),0 (-0.02 -- 0.02),957.3 (33.5 -- -43.8)
Alfenas,9 (0 -- 23),Unsure,0.98 (0.89 -- 1.08),-0.01 (-0.03 -- 0.02),-123.7 (34.7 -- -21.6)
Alfredo Chaves,0 (0 -- 2),Decreasing,0.72 (0.5 -- 0.95),-0.06 (-0.13 -- 0),-11.2 (190.4 -- -5.2)
Almadina,1 (0 -- 2),Decreasing,0.88 (0.79 -- 0.98),-0.03 (-0.08 -- 0),-25.9 (-3269.9 -- -9)
Almirante Tamandaré,13 (6 -- 23),Unsure,0.99 (0.95 -- 1.03),0 (-0.02 -- 0.01),-169.6 (83.4 -- -45.9)
Alta Floresta D'Oeste,9 (3 -- 17),Unsure,1 (0.96 -- 1.05),0 (-0.02 -- 0.02),980 (27.7 -- -37.7)
Altamira,9 (0 -- 22),Likely decreasing,0.94 (0.83 -- 1.02),-0.02 (-0.07 -- 0.01),-32.6 (68 -- -9.5)
Alto Alegre do Pindaré,6 (0 -- 20),Unsure,1.03 (0.88 -- 1.16),0.01 (-0.03 -- 0.04),89.5 (15.5 -- -22)
Alto Paraíso,2 (0 -- 5),Unsure,0.98 (0.89 -- 1.06),-0.01 (-0.06 -- 0.03),-103.6 (27.6 -- -12.3)
Alto Parnaíba,12 (0 -- 87),Likely increasing,1.12 (0.88 -- 1.37),0.03 (-0.03 -- 0.1),21 (6.8 -- -21.6)
Alto Santo,6 (1 -- 13),Likely increasing,1.05 (0.96 -- 1.12),0.01 (-0.01 -- 0.03),56.3 (22.2 -- -55.3)
Altos,8 (2 -- 16),Likely decreasing,0.96 (0.91 -- 1.04),-0.01 (-0.05 -- 0.02),-57.8 (42 -- -14.9)
Alvorada,710 (0 -- 659567),Unsure,1.06 (0.73 -- 1.41),0.01 (-0.11 -- 0.15),54.1 (4.6 -- -6.2)
Além Paraíba,5 (0 -- 14),Likely increasing,1.05 (0.97 -- 1.15),0.01 (-0.01 -- 0.07),51.4 (9.8 -- -51.9)
Amapá,53 (0 -- 141),Increasing,1.18 (1.05 -- 1.29),0.05 (0.01 -- 0.08),14.6 (9.2 -- 52.1)
Amarante,4 (0 -- 7),Unsure,0.98 (0.89 -- 1.07),0 (-0.03 -- 0.02),-142.6 (35.2 -- -20.3)
Amarante do Maranhão,11 (0 -- 27),Likely increasing,1.03 (0.96 -- 1.13),0.01 (-0.03 -- 0.07),57.6 (9.5 -- -25.1)
Amargosa,3 (1 -- 6),Unsure,0.99 (0.93 -- 1.06),0 (-0.03 -- 0.02),-311.5 (35.3 -- -25.9)
Amaturá,4 (0 -- 15),Unsure,1.04 (0.91 -- 1.13),0.01 (-0.03 -- 0.05),65 (13.3 -- -25.8)
Americana,27 (12 -- 44),Decreasing,0.95 (0.9 -- 0.99),-0.01 (-0.03 -- 0),-55.1 (-266.3 -- -24.7)
Amparo,12 (1 -- 27),Unsure,1 (0.94 -- 1.07),0 (-0.02 -- 0.03),1142.2 (20.5 -- -29.5)
Amélia Rodrigues,8 (1 -- 19),Likely increasing,1.06 (0.97 -- 1.13),0.01 (-0.01 -- 0.04),47.3 (19.8 -- -106.3)
Américo Brasiliense,9 (0 -- 20),Unsure,1.04 (0.94 -- 1.13),0.01 (-0.02 -- 0.04),64.2 (19.7 -- -45.4)
Américo de Campos,2 (0 -- 5),Unsure,0.98 (0.85 -- 1.06),-0.01 (-0.04 -- 0.02),-122.8 (37.8 -- -16.1)
Anamã,2 (0 -- 4),Decreasing,0.91 (0.81 -- 0.99),-0.02 (-0.05 -- 0),-33.3 (246.9 -- -14)
Ananindeua,27 (0 -- 65),Unsure,1.01 (0.93 -- 1.1),0 (-0.06 -- 0.08),154.7 (8.7 -- -11.6)
Anapu,24 (0 -- 78),Likely increasing,1.15 (0.96 -- 1.28),0.04 (-0.01 -- 0.07),17.7 (9.3 -- -71.4)
Anastácio,8 (1 -- 16),Unsure,1 (0.93 -- 1.07),0 (-0.02 -- 0.02),651.5 (37 -- -32.8)
Anchieta,4 (1 -- 7),Unsure,0.98 (0.92 -- 1.03),-0.01 (-0.04 -- 0.02),-136.7 (42.8 -- -15.7)
Andradas,4 (0 -- 9),Unsure,1 (0.91 -- 1.08),0 (-0.03 -- 0.03),2198 (26.9 -- -20.2)
Andradina,67 (26 -- 122),Increasing,1.15 (1.09 -- 1.2),0.04 (0.03 -- 0.05),17.4 (12.7 -- 26.9)
Angra dos Reis,30 (0 -- 106),Unsure,0.98 (0.81 -- 1.12),0 (-0.08 -- 0.06),-143.4 (12.5 -- -8.7)
Anicuns,12 (4 -- 21),Likely increasing,1.04 (0.97 -- 1.09),0.01 (-0.01 -- 0.02),65.7 (29.1 -- -84.7)
Antas,23 (0 -- 56),Increasing,1.13 (1.02 -- 1.25),0.04 (0.01 -- 0.07),19.3 (10.2 -- 85.8)
Antonina,2 (0 -- 5),Likely decreasing,0.95 (0.8 -- 1.08),-0.01 (-0.06 -- 0.02),-50.3 (35.2 -- -12.5)
Antônio Prado,23 (0 -- 58),Likely increasing,1.12 (0.94 -- 1.21),0.03 (-0.01 -- 0.06),22.5 (12.2 -- -47)
Anápolis,333 (36 -- 1228),Increasing,1.08 (1.01 -- 1.14),0.04 (-0.01 -- 0.1),19.7 (6.7 -- -63.4)
Aparecida,3 (0 -- 5),Likely decreasing,0.95 (0.84 -- 1.03),-0.01 (-0.06 -- 0.01),-49.3 (56.5 -- -12.3)
Aparecida de Goiânia,377 (177 -- 619),Unsure,1 (0.95 -- 1.04),0 (-0.01 -- 0.01),-849.7 (55.9 -- -57.5)
Aparecida do Taboado,19 (0 -- 93),Likely increasing,1.08 (0.92 -- 1.2),0.02 (-0.05 -- 0.1),40.3 (6.7 -- -13.5)
Apodi,28 (0 -- 68),Unsure,1.03 (0.92 -- 1.13),0.01 (-0.02 -- 0.04),94 (19.4 -- -29.4)
Apuarema,3 (0 -- 6),Unsure,0.99 (0.9 -- 1.09),0 (-0.03 -- 0.03),-422.1 (27.3 -- -22.7)
Apucarana,19 (7 -- 36),Increasing,1.07 (1.01 -- 1.13),0.02 (0 -- 0.03),36.1 (20.3 -- 240.1)
Aquidabã,1 (0 -- 3),Decreasing,0.88 (0.76 -- 1),-0.03 (-0.07 -- 0),-21.4 (333.8 -- -10.5)
Aquidauana,13 (5 -- 22),Decreasing,0.95 (0.88 -- 0.99),-0.01 (-0.03 -- 0),-47.8 (-240.8 -- -20.3)
