Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Abaetetuba,0 (0 -- 1),Unsure,0.6 (0.5 -- 0.7),-0.12 (-0.14 -- -0.1),-5.9 (-7.2 -- -4.9)
Acarape,22 (18 -- 26),Unsure,2.5 (2.1 -- 2.9),0.37 (0.26 -- 0.77),1.9 (0.9 -- 2.7)
Acaraú,3 (3 -- 4),Unsure,1.5 (1.4 -- 1.7),0.14 (0.11 -- 0.21),5 (3.4 -- 6.4)
Acopiara,4 (4 -- 5),Unsure,1.5 (1.4 -- 1.7),0.14 (0.11 -- 0.19),5 (3.6 -- 6.2)
Afogados da Ingazeira,16 (13 -- 19),Unsure,0.7 (0.7 -- 0.8),-0.08 (-0.09 -- -0.06),-9.2 (-11.6 -- -7.6)
Afonso Cláudio,35845 (19836 -- 66147),Unsure,5 (3.9 -- 6),0.84 (0.48 -- 3.18),0.8 (0.2 -- 1.4)
Afuá,2 (1 -- 2),Unsure,1 (0.9 -- 1),0 (-0.01 -- 0.01),-338 (57.5 -- -46.6)
Alagoa Grande,1 (1 -- 2),Unsure,1.1 (1 -- 1.1),0.02 (0 -- 0.03),41.1 (22.6 -- 276.4)
Alagoinha,111 (90 -- 129),Unsure,2.7 (2.2 -- 3.1),0.4 (0.28 -- 0.81),1.7 (0.9 -- 2.5)
Alagoinhas,9 (8 -- 11),Unsure,1 (1 -- 1.1),0 (-0.01 -- 0.02),4256.5 (43.2 -- -49.9)
Alegrete,19 (17 -- 22),Unsure,1 (0.9 -- 1),-0.01 (-0.02 -- 0),-66.5 (145.7 -- -28.9)
Alenquer,3 (3 -- 4),Unsure,1 (0.9 -- 1),0 (-0.02 -- 0.01),-339.5 (59.5 -- -45.7)
Alexânia,5 (4 -- 5),Unsure,1 (1 -- 1),0 (-0.01 -- 0.01),853.5 (54 -- -52)
Alfenas,2 (2 -- 3),Unsure,0.6 (0.6 -- 0.7),-0.1 (-0.12 -- -0.08),-6.7 (-8.3 -- -5.6)
Almirante Tamandaré,59 (50 -- 70),Unsure,1.3 (1.2 -- 1.4),0.08 (0.06 -- 0.1),9 (6.7 -- 11.6)
Altamira,65 (53 -- 77),Unsure,1.6 (1.4 -- 1.7),0.15 (0.12 -- 0.22),4.7 (3.2 -- 6)
Altos,4 (3 -- 4),Unsure,0.8 (0.8 -- 0.9),-0.05 (-0.07 -- -0.05),-12.7 (-15.3 -- -10.6)
Alvarães,11 (10 -- 14),Unsure,1.6 (1.5 -- 1.8),0.16 (0.13 -- 0.25),4.3 (2.8 -- 5.5)
Alvorada,54 (47 -- 63),Unsure,1 (0.9 -- 1),-0.01 (-0.02 -- 0.01),-127.7 (79.5 -- -39.2)
Amarante do Maranhão,0 (0 -- 1),Unsure,1 (1 -- 1.1),0 (-0.01 -- 0.02),1409.4 (40.6 -- -65.5)
Amaturá,0 (0 -- 1),Unsure,0.8 (0.7 -- 0.9),-0.07 (-0.08 -- -0.05),-10.6 (-14.8 -- -9)
Americana,9 (9 -- 11),Unsure,0.9 (0.8 -- 0.9),-0.04 (-0.05 -- -0.03),-16.4 (-22.1 -- -12.9)
Amparo,1 (1 -- 2),Unsure,0.7 (0.7 -- 0.8),-0.08 (-0.1 -- -0.07),-8.3 (-10 -- -6.9)
Ananindeua,68 (62 -- 75),Unsure,1.3 (1.2 -- 1.3),0.07 (0.06 -- 0.1),9.5 (7.3 -- 11.7)
Anapu,0 (0 -- 1),Unsure,0.9 (0.9 -- 1),-0.02 (-0.04 -- -0.01),-29.6 (-123.7 -- -18.2)
Anchieta,58609 (32354 -- 108675),Unsure,5.4 (4.2 -- 6.5),0.9 (0.5 -- 3.41),0.8 (0.2 -- 1.4)
Andradina,1 (0 -- 1),Unsure,0.7 (0.6 -- 0.8),-0.09 (-0.11 -- -0.07),-7.5 (-10.3 -- -6.3)
Angra dos Reis,388 (342 -- 435),Unsure,2 (1.7 -- 2.2),0.24 (0.18 -- 0.39),2.9 (1.8 -- 3.9)
Anori,2 (1 -- 2),Unsure,0.8 (0.7 -- 0.9),-0.07 (-0.08 -- -0.05),-10.2 (-14.2 -- -8.3)
Anápolis,1214 (1058 -- 1313),Unsure,2.4 (2 -- 2.7),0.33 (0.24 -- 0.66),2.1 (1.1 -- 2.9)
Aparecida de Goiânia,30 (27 -- 34),Unsure,0.8 (0.7 -- 0.8),-0.07 (-0.08 -- -0.05),-10.6 (-12.9 -- -8.9)
Aparecida do Taboado,0 (0 -- 1),Unsure,0.5 (0.5 -- 0.6),-0.14 (-0.17 -- -0.11),-5.1 (-6.5 -- -4)
Apodi,0 (0 -- 1),Unsure,1 (1 -- 1.1),0 (-0.01 -- 0.02),2158.4 (43.7 -- -70.1)
Apucarana,0 (0 -- 1),Unsure,0.4 (0.3 -- 0.7),-0.17 (-0.21 -- -0.11),-4.1 (-6.3 -- -3.3)
Aquidauana,3 (3 -- 4),Unsure,1 (1 -- 1),0 (-0.01 -- 0.01),-354.5 (57.7 -- -55.8)
Aquiraz,11 (10 -- 13),Unsure,1.3 (1.2 -- 1.3),0.07 (0.05 -- 0.1),10.3 (7.2 -- 13.6)
Aracaju,127 (119 -- 136),Unsure,1.1 (1 -- 1.1),0.02 (0.01 -- 0.02),43.4 (29.1 -- 81.6)
Aracati,0 (0 -- 1),Unsure,1 (0.9 -- 1),0 (-0.01 -- 0.01),-168.8 (67.2 -- -46.7)
Araci,4 (3 -- 4),Unsure,1.1 (1 -- 1.1),0.01 (0 -- 0.03),46.9 (26.6 -- 215.6)
Aracruz,878821 (424394 -- 1967166),Unsure,7 (5.3 -- 8.6),1.18 (0.61 -- 6.06),0.6 (0.1 -- 1.1)
Araguari,3 (2 -- 3),Unsure,0.6 (0.5 -- 0.7),-0.12 (-0.14 -- -0.1),-5.9 (-7.1 -- -4.9)
Araguatins,1 (0 -- 1),Unsure,0.8 (0.7 -- 0.9),-0.06 (-0.08 -- -0.04),-11.2 (-15.9 -- -9.2)
Araguaína,34 (29 -- 39),Unsure,1.1 (1.1 -- 1.2),0.03 (0.02 -- 0.05),23.2 (14.8 -- 43.2)
Arapiraca,58 (53 -- 64),Unsure,1.2 (1.2 -- 1.3),0.06 (0.04 -- 0.08),12.1 (9.2 -- 15.4)
Arapongas,2 (2 -- 3),Unsure,0.4 (0.3 -- 0.5),-0.18 (-0.23 -- -0.14),-3.8 (-5.1 -- -3)
Araquari,4 (3 -- 4),Unsure,0.9 (0.9 -- 1),-0.02 (-0.03 -- -0.01),-40.2 (-133 -- -24.3)
Araranguá,245 (203 -- 285),Unsure,1.5 (1.4 -- 1.6),0.13 (0.1 -- 0.19),5.3 (3.7 -- 6.6)
Araraquara,16 (15 -- 18),Unsure,0.8 (0.7 -- 0.8),-0.06 (-0.07 -- -0.05),-11 (-13.1 -- -9.5)
Araras,28 (24 -- 33),Unsure,1 (0.9 -- 1),-0.01 (-0.02 -- 0),-56 (163.1 -- -28)
Araripina,2 (1 -- 2),Unsure,0.6 (0.5 -- 0.7),-0.12 (-0.14 -- -0.1),-5.9 (-7.1 -- -4.8)
Araruama,9064 (7592 -- 10123),Unsure,4.2 (3.3 -- 5),0.7 (0.43 -- 2.19),1 (0.3 -- 1.6)
Araucária,102 (90 -- 118),Unsure,1 (1 -- 1),0 (-0.01 -- 0.01),-13854.2 (66 -- -53.3)
Araxá,10 (8 -- 11),Unsure,0.8 (0.8 -- 0.9),-0.05 (-0.06 -- -0.03),-15 (-20.4 -- -11.6)
Araçatuba,12 (11 -- 14),Unsure,0.7 (0.7 -- 0.8),-0.08 (-0.09 -- -0.07),-8.6 (-10.2 -- -7.4)
Arcoverde,32 (28 -- 36),Unsure,1.2 (1.1 -- 1.3),0.05 (0.04 -- 0.07),12.9 (9.6 -- 16.9)
Ariquemes,3 (3 -- 4),Unsure,0.6 (0.6 -- 0.7),-0.11 (-0.13 -- -0.09),-6.3 (-7.6 -- -5.4)
Artur Nogueira,2 (2 -- 3),Unsure,0.9 (0.8 -- 0.9),-0.04 (-0.05 -- -0.02),-19 (-32.1 -- -14.5)
Arujá,21 (19 -- 23),Unsure,1.1 (1.1 -- 1.2),0.04 (0.03 -- 0.05),18 (13.5 -- 23.8)
Assis,5 (5 -- 6),Unsure,0.8 (0.8 -- 0.9),-0.05 (-0.06 -- -0.04),-14.1 (-18.2 -- -11)
Atalaia do Norte,4 (3 -- 4),Unsure,1 (0.9 -- 1),0 (-0.01 -- 0.01),-389.8 (64 -- -47.8)
Atibaia,3 (3 -- 4),Unsure,0.7 (0.7 -- 0.8),-0.08 (-0.09 -- -0.06),-9 (-10.8 -- -7.7)
Augusto Corrêa,0 (0 -- 1),Unsure,1 (0.9 -- 1),0 (-0.02 -- 0.01),-181.6 (53.5 -- -40.9)
Autazes,2 (1 -- 2),Unsure,1 (1 -- 1),0 (-0.01 -- 0.01),-300.7 (71 -- -60.6)
Açailândia,0 (0 -- 1),Unsure,0.9 (0.8 -- 1),-0.04 (-0.05 -- -0.01),-19.7 (-63.8 -- -13.1)
Açu,0 (0 -- 1),Unsure,1 (1 -- 1.1),0 (-0.01 -- 0.02),1263.8 (39.1 -- -84.6)
Bacabal,1 (1 -- 2),Unsure,0.9 (0.8 -- 0.9),-0.04 (-0.05 -- -0.02),-18.9 (-31.3 -- -14)
Bady Bassitt,0 (0 -- 1),Unsure,0.6 (0.5 -- 0.7),-0.12 (-0.15 -- -0.1),-5.6 (-6.9 -- -4.6)
Bagé,41 (35 -- 48),Unsure,1.2 (1.1 -- 1.3),0.05 (0.04 -- 0.08),12.8 (9.2 -- 18.4)
Baixa Grande do Ribeiro,0 (0 -- 1),Unsure,0.8 (0.7 -- 0.9),-0.05 (-0.07 -- -0.03),-13 (-25.2 -- -9.9)
Baixo Guandu,55239 (28468 -- 92345),Unsure,5.1 (4 -- 6.2),0.85 (0.49 -- 3.21),0.8 (0.2 -- 1.4)
Balneário Camboriú,382 (341 -- 425),Unsure,1.3 (1.3 -- 1.4),0.09 (0.07 -- 0.12),7.6 (5.8 -- 9.3)
Balneário Piçarras,47 (40 -- 55),Unsure,1.4 (1.3 -- 1.5),0.11 (0.08 -- 0.15),6.6 (4.7 -- 8.3)
Balsas,2 (2 -- 3),Unsure,0.9 (0.9 -- 1),-0.02 (-0.03 -- -0.01),-31.4 (-67.7 -- -21.1)
